index,id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count
0,1.39056E+18,"Its the little acts of kindness, its the small #kindness efforts of individual that make a great nation!

#COVID19 

Seen somewhere in Calgary, Canada https://t.co/EKb8exzakX",,2021-05-07T06:35:12.000Z,,0,0,0,0
1,1.39055E+18,"Thursday Training Day!!! 
The “Coolest” Charity on the Planet.🌏
❄️@CancerSociety
❄️ #EverestInEdmonton 
❄️ February 26. 2022
❄️ #Edmonton #Alberta 
❄️ @MarkPavelich 
❄️ @ShonnOborowsky
❄️ 44.5KM
❄️ @fairmontmac
❄️ https://t.co/03gFMDqw6Y https://t.co/A1Z0fUMirV",,2021-05-07T06:08:40.000Z,{'place_id': '6a6d896ba1cb5dc4'},5,0,0,1
2,1.39053E+18,"@CMOH_Alberta Hey instead of recognizing the disruption, how about you donate your salary to someone you put out of work? Why should you get paid the same while you needlessly put businesses in the toilet and young people in despair?",,2021-05-07T04:39:53.000Z,,2,0,0,0
3,1.39052E+18,Lacombe BOTM donation to Central Alberta Women’s Emergency Shelter https://t.co/S0MIqEZzE2,,2021-05-07T04:06:14.000Z,,0,0,0,0
4,1.3905E+18,"Opened Garbage in a Park request via iphone at 1 Kincora Dr NW https://t.co/lBsu64vcyE. Bin overflowing. needs emptying asap. cleaned up garbage in path system(heavy with cans of food that someone was gonna donate to the good bank, but thrown in the... https://t.co/m94QEJHOLt",,2021-05-07T02:53:10.000Z,"{'coordinates': {'type': 'Point', 'coordinates': [-114.12815737, 51.15875813]}, 'place_id': '53504716d445dcad'}",0,0,0,0
5,1.3905E+18,"Hey folks. If you live in Alberta. We’re trying to get the first Blackfoot woman elected to Calgary City Counsel. She’s also a dynamite candidate. If you’d like to donate or volunteer, please go to https://t.co/bRt4sbMt0P #yyc #municipalElection",,2021-05-07T02:52:17.000Z,,1,0,1,1
6,1.39048E+18,@YWcalgary Did you know? Your donated lemon = donation dollars for YWCA Calgary @ https://t.co/jpQFbFC6zu through @donatecarcanada! https://t.co/pXxLW0Km70,,2021-05-07T01:17:39.000Z,,0,0,0,0
7,1.39047E+18,@MakeAWishNAB Did you know? Your donated lemon = donation dollars for Make-A-Wish Northern Alberta @ https://t.co/m7vGktpuFd through @donatecarcanada! https://t.co/Bpr0TEuYgT,,2021-05-07T01:13:31.000Z,,0,0,0,0
8,1.39047E+18,@mustardseedyyc Did you know? Your donated lemon = donation dollars for the Mustard Seed Calgary @ https://t.co/T2zAvRCn0b through @donatecarcanada! https://t.co/Do3IsWbCHG,,2021-05-07T00:54:30.000Z,,0,0,0,0
9,1.39047E+18,@CBCAlerts Unless you live in Alberta where @jkenney would rather not accept charity from the Feds.,,2021-05-07T00:51:11.000Z,,0,0,0,0
10,1.39047E+18,@CMHACalgary Did you know? Your donated lemon = donation dollars for CMHA Calgary @ https://t.co/WrG485naFB through @donatecarcanada! https://t.co/BcDOoSJbWU,,2021-05-07T00:39:40.000Z,,0,0,0,0
11,1.39047E+18,We have coffee to #donate what charities are looking for coffee right now? #supportyyc #Community #yyc,,2021-05-07T00:39:36.000Z,,0,0,0,1
12,1.39046E+18,@SCARS_Alberta Did you know? Your donated lemon = donation dollars for SCARS Alberta @ https://t.co/daC1qgVUXg through @donatecarcanada! https://t.co/2CpBS2rkYz,,2021-05-07T00:03:06.000Z,,0,0,0,0
13,1.39045E+18,"these are beginning to look like pd ""political"" announcements.
how much do i have to donate? cash ok?
is it free beer &amp; bff?
i wouldn't do to well w the beer in that we've been an no alcohol everyone incl cafe/ venue for 24 yrs? 
it's why we were evicted. #yeg #yegdt #ableg #yyc https://t.co/MZrr5ejTXN https://t.co/53yrGF8Ooh",,2021-05-06T23:51:03.000Z,,0,0,0,0
14,1.39045E+18,@fedyyc Did you know? Your donated lemon = donation dollars for Federation of Calgary Communities @ https://t.co/hqZeLufh8b through @donatecarcanada! https://t.co/qdalBJ5hZN,,2021-05-06T23:31:38.000Z,,0,0,0,0
15,1.39045E+18,@CPAlberta Did you know? Your donated lemon = donation dollars for Cerebral Palsy Alberta @ https://t.co/anThlZa2VV through @donatecarcanada! https://t.co/3iYiorlji0,,2021-05-06T23:28:35.000Z,,0,0,0,0
16,1.39045E+18,@LibraryFdnYYC Did you know? Your donated lemon = donation dollars for Calgary Public Library Foundation @ https://t.co/wvC3aB0t4y through @donatecarcanada! https://t.co/fk4orIKOS4,,2021-05-06T23:26:06.000Z,,0,0,0,0
17,1.39045E+18,@CalgaryHumane Did you know? Your donated lemon = donation dollars for Calgary Humane Society @ https://t.co/bALuIfOwjR through @donatecarcanada! https://t.co/arLVUCO9VH,,2021-05-06T23:24:10.000Z,,0,0,0,0
18,1.39045E+18,@ARFAlberta Did you know? Your donated lemon = donation dollars for ARF Alberta @ https://t.co/U9oKX41fYT through @donatecarcanada! https://t.co/I1xvLR7MeL,,2021-05-06T23:23:02.000Z,,0,0,0,0
19,1.39045E+18,@albertacancer Did you know? Your donated lemon = donation dollars for Alberta Cancer Foundation @ https://t.co/nkfFwrbJV9 through @donatecarcanada! https://t.co/g41VeT0DRA,,2021-05-06T23:20:40.000Z,,0,0,0,0
